172-32-1176,多賀,たが,美紀子,みきこ,022-398-0412     ,宮城県仙台市青葉山２－６－１,みやぎけんせんだいしあおばやま,仙台市,せんだいし,宮城県,みやぎけん,Japan,日本,981
213-46-8915,吉広,よしひろ,記代子,きよこ,0424-36-2882     ,神奈川県葉山町２－３－６,かながわけんはやまちょう,葉山町,はやまちょう,神奈川県,かながわけん,Japan,日本,241
238-95-7766,荒又,あらまた,宏,ひろし,03-3773-2366     ,東京都大田区山王町２－１１２,とうきょうとおおたくさんのうちょう,大田区,おおたく,東京都,とうきょうと,Japan,日本,102
267-41-2394,トフラー,とふらー,アルビン,あるびん,212-355-9856     ,350 Park Avenue New York NY,にゅーよーくしゅうにゅーよーく,New York,にゅーよーく,NY,にゅーよーく,USA,アメリカ,10022
274-80-9391,木村,きむら,政秋,まさあき,0988-23-1198     ,沖縄県那覇市那覇２－３４５,おきなわけんなはし,那覇市,なはし,沖縄県,おきなわけん,Japan,日本,996
409-56-7008,石腹,いしはら,慎太郎,しんたろう,03-3508-0727     ,東京都世田谷区太陽ケ丘１－１２－６,とうきょうとせたがやくたいようがおか,世田谷区,せたがやく,東京都,とうきょうと,Japan,日本,104
409-56-9004,完全エンジニアリング,かんぜんえんじにありんぐ,株式会社,かぶしきがいしゃ,044-193-3323     ,西山市幸区堀川町１６－２,にしやましさいわいくほりかわちょう,西山市,にしやまし,神奈川県,かながわけん,Japan,日本,210
427-17-2319,幸田,こうだ,康年,やすとし,0862-12-1234     ,岡山県岡山市城山２－３,おかやまけんおかやまししろやま,岡山市,おかやまし,岡山県,おかやまけん,Japan,日本,629
472-27-2349,徳山,とくやま,次郎,じろう,03-3503-4753     ,東京都台東区東上野３－１３－１,とうきょうとたいとうくひがしうえの,台東区,たいとうく,東京都,とうきょうと,Japan,日本,110
486-29-1786,クリスティー,くりすてぃー,アガサ,あがさ,未定             ,死去,,,,,,England,イギリス,
527-72-3246,寺丘,てらおか,バーバラ,ばーばら,03-3241-1049     ,東京都中央区日本橋４－７－１５,とうきょうとちゅうおうくにほんばし,中央区,ちゅうおうく,東京都,とうきょうと,Japan,日本,103
648-92-1872,村松,むらまつ,定敬,さだたか,0196-25-9845     ,岩手県盛岡市中央１－９－１６,いわてけんもりおかしちゅうおう,盛岡市,もりおかし,岩手県,いわてけん,Japan,日本,020
672-71-3249,大月,おおつき,義彦,よしひこ,0428-21-3457     ,東京都府中市競馬場２３１,とうきょうとふちゅうしけいばじょう,府中市,ふちゅうし,東京都,とうきょうと,Japan,日本,183
712-45-1867,カイリー,かいりー,ダン,だん,415-938-6445     ,5420 College Av. Oakland CA,かるふぉるにあしゅうおーくらんど,Oakland,おーくらんど,CA,かるふぉるにあ,USA,アメリカ,95428
722-51-5454,ファーブル,ふぁーぶる,Ｊ．－Ｈ,じぇーえっち,未定             ,死去,,,,,,France,フランス,
724-08-9931,宮崎,みやざき,正弘,まさひろ,0423-37-2332     ,東京都青梅市羽村３－４－１,とうきょうとおうめしはむら,青梅市,おうめし,東京都,とうきょうと,Japan,日本,256
724-80-9391,加藤,かとう,正弘,まさひろ,044-544-2331     ,神奈川県川崎市高津区高津２３４－２,かながわけんかわさきしたかつくたかつ,川崎市,かわさきし,神奈川県,かながわけん,Japan,日本,211
756-30-7391,ジェサップ,じぇさっぷ,モーリス,もーりす,415-658-9932     ,6223 Bateman St. Berkeley CA,かるふぉるにあしゅうばーくれい,Berkeley,ばーくれい,CA,かるふぉるにあ,USA,アメリカ,94705
807-91-6654,奥本,おくもと,大三郎,だいざぶろう,03-3868-4799     ,東京都世田谷区烏山１－６－９,とうきょうとせたがやくからすやま,世田谷区,せたがやく,東京都,とうきょうと,Japan,日本,104
846-92-7186,小曳,こひき,敬吾,けいご,0426-22-1346     ,東京都八王子市寺町６０－１,とうきょうとはちおうじしてらまち,八王子市,はちおうじし,東京都,とうきょうと,Japan,日本,135
893-72-1158,森田,もりた,昭夫,あきお,0433-26-4354     ,神奈川県鎌倉市由比浜12-6,かながわけんかまくらしゆいがはま,鎌倉市,かまくらし,神奈川県,かながわけん,Japan,日本,236
899-46-2035,堀,ほり,純一,じゅんいち,0473-23-1234     ,埼玉県浦和市堀之内１－２－４,さいたまけんうらわしほりのうち,浦和市,うらわし,埼玉県,さいたまけん,Japan,日本,264
998-72-3567,奥谷,おくたに,喬,たかし,045-473-1976     ,神奈川県横浜市港北区新横浜２－２－１０,かながわけんよこはましこうほくくしんよこはま,横浜市,よこはまし,神奈川県,かながわけん,Japan,日本,222
